Model,Greedy,G-Pass@16-0.5,G-Pass@16-0.75,G-Pass@16-1.0,mG-Pass@16,link,opensourced,mathLM,o1-like
Llama-3.1-8B-Instruct,24.0,18.2,11.3,4.6,10.4,https://github.com/facebookresearch/llama,TRUE,FALSE,FALSE
Llama-3.1-70B-Instruct,29.8,30.0,22.2,12.5,20.8,https://github.com/facebookresearch/llama,TRUE,FALSE,FALSE
Llama-3.3-70B-Instruct,40.3,36.2,28.9,19.1,27.5,https://github.com/facebookresearch/llama,TRUE,FALSE,FALSE
Qwen2.5-7B-Instruct,37.0,36.5,27.2,16.0,25.8,https://github.com/QwenLM/Qwen,TRUE,FALSE,FALSE
Qwen2.5-32B-Instruct,50.8,48.3,39.5,28.6,38.1,https://github.com/QwenLM/Qwen,TRUE,FALSE,FALSE
Qwen2.5-72B-Instruct,51.7,47.3,39.6,29.0,37.8,https://github.com/QwenLM/Qwen,TRUE,FALSE,FALSE
DeepSeek-V2.5-1210,38.7,38.9,27.9,17.3,26.7,https://github.com/deepseek-ai/DeepSeek-LLM,TRUE,FALSE,FALSE
DeepSeek-V3.0-Chat,55.0,59.5,49.9,35.0,47.9,https://github.com/deepseek-ai/DeepSeek-V3,TRUE,FALSE,FALSE
Mistral-Large-Instruct-2411-123B,41.6,39.4,37.1,32.9,36.4,https://example.com/mistral,TRUE,FALSE,FALSE
Gemini-1.5-Pro-Latest,59.1,55.9,47.3,31.0,44.3,https://example.com/gemini,FALSE,FALSE,FALSE
Claude-3.5-Sonnet,46.7,44.1,36.2,26.6,35.3,https://docs.anthropic.com/claude/docs/models-overview,FALSE,FALSE,FALSE
GPT-4o-2024-11-20,44.8,41.9,32.9,22.2,31.6,https://openai.com/research/gpt-4,FALSE,FALSE,FALSE
DeepSeek-Math-7B-RL,23.5,19.8,14.0,9.7,13.7,https://github.com/deepseek-ai/DeepSeek-LLM,TRUE,TRUE,FALSE
NuminaMath-72B-CoT,40.8,34.0,27.1,14.2,25.0,https://example.com/numinamath,TRUE,TRUE,FALSE
Qwen2.5-Math-7B-Instruct,44.1,44.1,38.3,28.1,36.6,https://github.com/QwenLM/Qwen,TRUE,TRUE,FALSE
Qwen2.5-Math-72B-Instruct,57.6,52.7,45.4,27.9,42.3,https://github.com/QwenLM/Qwen,TRUE,TRUE,FALSE
Skywork-o1-8B,45.4,39.3,31.9,21.7,30.4,https://example.com/skywork,TRUE,FALSE,TRUE
QwQ-32B-Preview,72.7,74.9,65.8,40.1,61.2,https://example.com/qwq,TRUE,FALSE,TRUE
OpenAI o1-mini,74.1,76.3,67.3,48.3,64.8,https://openai.com/research/o1,FALSE,FALSE,TRUE
DeepSeek Distill Qwen-1.5B,42.4,61.9,48.8,25.6,45.1,https://github.com/deepseek-ai/DeepSeek-R1,TRUE,FALSE,TRUE
DeepSeek Distill Qwen-7B,65.6,73.0,66.4,48.4,63.1,https://github.com/deepseek-ai/DeepSeek-R1,TRUE,FALSE,TRUE
DeepSeek Distill Qwen-14B,69.8,79.9,71.2,51.6,68.0,https://github.com/deepseek-ai/DeepSeek-R1,TRUE,FALSE,TRUE
DeepSeek Distill Qwen-32B,67.7,81.2,72.3,54.5,69.7,https://github.com/deepseek-ai/DeepSeek-R1,TRUE,FALSE,TRUE
DeepSeek Distill Llama-8B,58.4,67.8,56.8,31.9,52.2,https://github.com/deepseek-ai/DeepSeek-R1,TRUE,FALSE,TRUE
DeepSeek Distill Llama-70B,74.8,80.8,73.0,53.0,69.7,https://github.com/deepseek-ai/DeepSeek-R1,TRUE,FALSE,TRUE
DeepSeek R1,81.1,83.6,79.1,69.5,77.6,https://github.com/deepseek-ai/DeepSeek-R1,TRUE,FALSE,TRUE
